english,malay,definition
architecture,seni bina,"Merujuk kepada struktur dan susunan keseluruhan rangkaian neural atau model pembelajaran mendalam, termasuk bilangan dan jenis lapisan, fungsi pengaktifan, sambungan, dan komponen lain."
asynchronous ,tak segerak,"Merujuk kepada jenis pemprosesan atau komunikasi di mana tugas atau mesej dihantar tanpa menunggu tindak balas serta-merta, membolehkan operasi selari dan mengurangkan masa menunggu."
attention,tumpuan; perhatian,"Mekanisme dalam pembelajaran mendalam (deep learning) yang membolehkan model mempelajari pemetaan antara unsur-unsur dalam urutan input dan output, dengan memberi pemberat yang lebih tinggi kepada bahagian input yang paling relevan untuk setiap langkah output."
attention mechanism,mekanisme perhatian,"Teknik dalam pembelajaran mesin yang membolehkan model memberikan tumpuan kepada bahagian yang paling berkaitan daripada input apabila menghasilkan output, sering digunakan dalam pemprosesan bahasa tabii dan penglihatan komputer."
augmentation ,pengayaan; penambahan; pembesaran; pengaburan,"Teknik meningkatkan saiz dan kepelbagaian set data dengan mencipta versi baharu contoh latihan melalui transformasi seperti putaran, terjemahan, atau hingar, membantu mengurangkan penyesuaian lebih (overfitting)."
Autocorrelation,Autokorelasi; auto-saling hubung,"Ukuran korelasi antara nilai proses pada pelbagai masa, menunjukkan kebergantungan nilai semasa pada nilai lepas."
autoencoder,pengekod-auto,"Seni bina rangkaian neural yang terdiri daripada pengekod (encoder) dan penyahkod (decoder), dilatih untuk mempelajari perwakilan bermakna data input dengan memaksakan kekangan pada lapisan tersembunyi."
AutoML,Pembelajaran Mesin Automatik,"Proses mengautomasikan aliran kerja pembelajaran mesin, termasuk pemilihan model, penalaan hiperparameter, dan penilaian model, bertujuan untuk memudahkan pembangunan model dan mengurangkan keperluan untuk kepakaran domain."
AutoRegressive Integrated Moving Average,Purata Bergerak Bersepadu AutoRegresif,"Model statistik yang biasa digunakan untuk analisis siri masa dan ramalan, yang menggabungkan komponen autoregresif, pembezaan bersepadu, dan purata bergerak."
autoregressive model,model autoregresif,"Kelas model pembelajaran mesin yang mempelajari taburan kebarangkalian tersirat data latihan, membolehkan penjanaan sampel baharu yang serupa."
back propagation,rambatan belakang; perambatan balik,"Algoritma yang digunakan untuk mengira kecerunan fungsi kos berkenaan dengan setiap pemberat dalam rangkaian neural, dengan menyebarkan ralat output ke belakang melalui rangkaian menggunakan petua rantaian."
Backtranslation,Terjemahan Balik,"Teknik untuk menghasilkan lebih banyak data latihan sintetik untuk terjemahan mesin, dengan menterjemahkan korpus sasaran (monolingual) kembali ke bahasa sumber menggunakan sistem terjemahan mesin awal, kemudian menggunakan pasangan ayat sintetik ini untuk melatih sistem terjemahan mesin arah depan."
bag of words,Beg Perkataan,"Perwakilan teks yang mengira kekerapan setiap perkataan dalam dokumen, mengabaikan susunan dan tatabahasa, digunakan dalam pemprosesan bahasa semula jadi dan dapatan semula maklumat."
bagging,agregat butstrap,"Kaedah pembelajaran mesin yang menggabungkan beberapa model ramalan yang dilatih pada subset data latihan yang berbeza, untuk menghasilkan satu model ramalan akhir yang lebih baik daripada model-model individu."
batch,kelompok,"Subset data latihan yang digunakan untuk menilai kecerunan dan mengemas kini parameter model dalam satu lelaran semasa latihan, membolehkan pengiraan yang lebih cekap berbanding pemprosesan keseluruhan set data pada setiap lelaran."
Batch Normalization,Normalisasi Kelompok,"Teknik untuk menormalkan input ke lapisan tersembunyi dalam rangkaian neural dengan mengurangkan min kelompok dan membahagikan dengan sisihan piawai, membantu menstabilkan dan mempercepatkan latihan."
batch normalization layer,lapisan pernomalan kelompok,"Teknik yang menormalkan input ke lapisan neural dengan mengurangkan min dan membahagikan dengan sisihan piawai kelompok semasa latihan, mengurangkan perubahan taburan dalaman (internal covariate shift) dan mempercepatkan penumpuan."
batch size,saiz kelompokkan,"Bilangan sampel latihan yang diproses sebelum parameter model dikemas kini, mempengaruhi masa dan kestabilan proses pembelajaran."
Bayesian Networks,Rangkaian Bayesian,"Model grafik kebarangkalian yang mewakili hubungan bersyarat antara pemboleh ubah rawak, digunakan untuk penaakulan kebarangkalian dan inferens dalam keadaan ketidakpastian."
beam search,carian pancaran,"Algoritma carian heuristik yang meneroka graf carian mengikut bilangan jalur terbaik yang tetap pada setiap tahap, dan memilih calon terbaik berasaskan fungsi skor, sering digunakan dalam model bahasa dan terjemahan mesin."
bias,bias,kecenderungan ke arah sesuatu secara berlebihan atau keterlaluan.; Perbezaan sistematik antara nilai ramalan model dan nilai sebenar dalam ramalan statistik dan pembelajaran mesin.; Parameter tambahan dalam rangkaian neural untuk mengubah suai output kepada nilai yang dikehendaki.
Bias-variance tradeoff,keseimbangan bias-varians,"Hubungan terbalik antara bias (kesalahan akibat andaian model yang terlalu mudah) dan varians (kesalahan akibat kepekaan model terhadap variasi dalam data latihan), di mana pengurangan bias sering menyebabkan peningkatan varians dan sebaliknya."
bidirectional,dwiarah; dwihalaan,"Merujuk kepada pemprosesan urutan secara dwihalaan, mempertimbangkan konteks dari kedua-dua arah (lepas dan depan) untuk menghasilkan representasi yang lebih kaya maklumat."
Bidirectional Encoder Representations from Transformers,,"Model prakejuruteraan bahasa dwiarah yang menggabungkan konteks dari kedua-dua arah untuk menghasilkan perwakilan perkataan konteks-sensitif, banyak digunakan untuk tugas pemahaman bahasa semula jadi."
bigram,dwigram; bigram,"Urutan dua item bersebelahan dari sampel teks atau ucapan, digunakan untuk pemodelan bahasa dan analisis sentimen."
binary classification,pengelasan perduaan,"Masalah pengelasan di mana model perlu mengklasifikasikan contoh kepada salah satu daripada dua kelas yang mungkin, seperti pengesanan spam atau analisis sentimen positif/negatif."
Binary Cross Entropy,Entropi Silang Perduaan,"Fungsi kerugian yang biasa digunakan dalam masalah pengelasan perduaan, yang mengukur perbezaan antara taburan kebarangkalian sebenar dan yang diramalkan untuk dua kelas."
binary decision tree,pepohon keputusan perduaan,"Struktur pepohon di mana setiap nod bukan daun membuat keputusan berdasarkan nilai ciri dan memecahkan data kepada dua cabang anak, digunakan untuk pengelasan dan regresi dalam pembelajaran mesin."
biological neural network,rangkaian neural biologi,"Rangkaian sel saraf yang saling berhubung dalam sistem saraf biologi, yang memproses dan menghantar maklumat melalui isyarat elektrik dan kimia."
Bleu Score,Skor Bleu,"Metrik automatik untuk menilai kualiti output sistem terjemahan mesin, dengan membandingkan kesamaan output dengan satu atau lebih terjemahan rujukan manusia."
boltzmann machines,mesin Boltzmann,"Jenis rangkaian neural generatif yang terdiri daripada unit neuron dengan sambungan simetri, dilatih untuk mempelajari taburan kebarangkalian data menggunakan kaedah persampelan stokastik."
boosting,pengalakkan; penguatan,"Kelas teknik pembelajaran mesin ensemble di mana model dilatih secara bersiri, dengan setiap model berikutnya memberi tumpuan kepada contoh yang tidak dikelaskan dengan betul oleh model sebelumnya."
bottleneck,cerutan,"Lapisan tersembunyi dalam rangkaian neural yang mempunyai bilangan unit atau dimensi yang jauh lebih kecil berbanding lapisan sebelum dan selepasnya, bertujuan untuk mengekstrak ciri penting dan memampatkan representasi data."
Brownian Motion,gerakan Brown,"Proses stokastik berterusan yang menggambarkan pergerakan rawak zarah, digunakan dalam pemodelan fenomena fizikal dan kewangan."
byte,bait,"Unit asas storan digital yang biasanya terdiri daripada lapan bit perduaan (binary), digunakan untuk mewakili aksara, nombor, atau simbol dalam komputer dan telekomunikasi."
byte pair enconding,pengekodan pasangan bait,"Algoritma pengekodan yang secara rekursif menggabungkan pasangan unit teks yang paling kerap menjadi token baharu, menghasilkan perbendaharaan kata yang padat dan boleh mewakili perkataan di luar perbendaharaan kata dengan menggabungkan subperkataan."
capsule network,rangkaian kapsul,"Seni bina rangkaian neural yang menggunakan kumpulan neuron yang dipanggil kapsul untuk mewakili entiti dan hubungannya secara hierarki, bertujuan untuk menangani kelemahan CNN dalam mengendalikan perubahan sudut pandangan dan orientasi objek."
catboost,catboost,"Algoritma peningkatan kecerunan yang menggunakan pepohon keputusan sebagai pengelas asas, direka untuk mengendalikan ciri kategori tanpa keperluan pengekodan awal, dan menyediakan ciri seperti penalaan parameter automatik dan pemangkasan ciri."
causal masking,penopengan penyebab,"Teknik yang digunakan dalam model bahasa auto-regresif untuk menghalang token masa depan daripada mempengaruhi ramalan token semasa, biasanya dilaksanakan dengan topeng segitiga dalam mekanisme perhatian."
centroid,sentroid; pusat-bentuk,"Titik pusat geometri kelompok atau set titik data dalam ruang ciri, digunakan dalam algoritma seperti K-means untuk mewakili pusat kelompok."
chain rule,petua rantaian,"Peraturan yang digunakan dalam pengiraan kecerunan untuk fungsi komposisi, memecahkan terbitan kepada produk terbitan separa, membolehkan perambatan balik kecerunan melalui rangkaian neural berlapis."
class imbalance,ketidakseimbangan pengelas,"Senario di mana bilangan contoh dalam setiap kelas pengelasan tidak sekata atau berbeza dengan ketara, yang boleh menyebabkan model berat sebelah terhadap kelas majoriti dan menjejaskan prestasi pada kelas minoriti."
classification,pengelasan,"Tugas pembelajaran mesin di mana model dilatih untuk mengaitkan input kepada satu atau lebih kelas diskret, seperti pengelasan imej atau analisis sentimen."
classifiers,pengelas,"Algoritma atau model yang digunakan dalam masalah pengelasan, yang mengaitkan sampel input dengan satu atau lebih kelas diskret berdasarkan ciri mereka."
clustering,penggugusan; pengelompokan,"Tugas pembelajaran tanpa pengawasan untuk mengumpulkan contoh yang serupa ke dalam kelompok berdasarkan ukuran kesamaan atau jarak, tanpa menggunakan label kelas."
C-means,,"Variasi lembut untuk algoritma pengelompokan K-means yang membenarkan keahlian separa dalam kelompok, di mana setiap titik data boleh tergolong dalam berbilang kelompok dengan darjah keahlian yang berbeza."
code switch,alih-kod,"Pertukaran antara dua atau lebih bahasa, dialek, atau gaya bahasa dalam satu perbualan, ayat, atau wacana.; Pencampuran atau pengalihan kod bahasa yang digunakan dalam komunikasi."
collaborative filtering,penyaringan kolaboratif,"Teknik yang digunakan dalam sistem pengesyor untuk meramalkan minat atau keutamaan pengguna dengan mengumpulkan maklumat keutamaan dari banyak pengguna, berdasarkan andaian bahawa pengguna yang mempunyai citarasa yang sama akan menyukai item yang sama."
confusion matriks,matriks kekalutan,"Jadual yang meringkaskan prestasi model pengelasan dengan membandingkan kelas sebenar dengan kelas yang diramalkan, menunjukkan bilangan ramalan yang betul dan salah untuk setiap kelas."
Confusion Matrix,matriks kekalutan,"Jadual yang meringkaskan prestasi model pengelasan, menunjukkan bilangan ramalan yang betul dan salah berbanding dengan nilai sebenar untuk setiap kelas."
constituency parsing,penghuraian Konstituensi,"Tugas menganalisis struktur sintaksis ayat berdasarkan tatabahasa bebas konteks, menghasilkan pepohon huraian yang menunjukkan hubungan antara frasa dan subfrasa."
Content-Based Image Retrieval,Dapatan Semula Imej Berasaskan Kandungan,"Tugas mencari dan mendapatkan semula imej dari pangkalan data besar berdasarkan kandungan visual seperti warna, tekstur, atau objek, berbanding metadata teks yang berkaitan dengan imej."
context length,panjang konteks,"Bilangan token input (perkataan atau aksara) yang boleh diproses oleh model bahasa atau sistem pemprosesan bahasa tabii pada satu-satu masa, menentukan jumlah maklumat konteks yang tersedia untuk membuat ramalan."
context window,tingkap konteks,"Bilangan perkataan di hadapan dan belakang perkataan fokus yang dipertimbangkan sebagai konteks dalam model pemprosesan bahasa semula jadi, seperti dalam pemodelan bahasa atau pembelajaran penyebaran perkataan."
continuous features,ciri berterusan; ciri berangka,"Ciri yang boleh mengambil mana-mana nilai dalam julat tertentu, seperti ketinggian, suhu, atau pendapatan, berbeza dengan ciri diskret yang hanya boleh mengambil set nilai terhad."
convergence,konvergen; penumpuan,"Keadaan di mana model pembelajaran mesin mencapai penyelesaian optimum, di mana pengoptimuman selanjutnya tidak menghasilkan peningkatan ketara dalam prestasi atau fungsi kerugian."
convex function,fungsi cembung,"Fungsi matematik di mana garis yang menghubungkan sebarang dua titik pada grafnya terletak di atas atau pada graf, memastikan bahawa sebarang minimum tempatan juga merupakan minimum global."
convolution,konvolusi,"Operasi matematik yang menggabungkan dua fungsi untuk menghasilkan fungsi ketiga, digunakan secara meluas dalam pemprosesan imej dan rangkaian neural konvolusi untuk mengekstrak ciri setempat dan corak dari data."
convolutional  neural network,rangkaian neural konvolusi,"Seni bina rangkaian neural yang direka untuk memproses data kekisi seperti imej, menggunakan operasi konvolusi untuk mengesan ciri setempat dan lapisan pengumpulan untuk mengurangkan dimensi ruang ciri."
convolutional filter,Penapis Konvolusi,Set parameter boleh dipelajari dalam rangkaian neural konvolusi yang mengesan kehadiran corak atau ciri tertentu dalam data input.
convolutional layer,lapisan konvolusi,"Lapisan dalam rangkaian neural yang menjalankan operasi konvolusi pada input menggunakan satu set penuras (filters) yang boleh dipelajari, digunakan untuk mengekstrak ciri setempat dan corak dalam data 2D atau 3D."
convolutional operation,Operasi Konvolusi,"Operasi matematik yang menggabungkan dua fungsi untuk menghasilkan fungsi ketiga, digunakan dalam rangkaian neural konvolusi untuk mengekstrak ciri setempat dari data input."
convolutional window,tetingkap konvolusi,"Kawasan setempat dalam data input yang diliputi oleh penuras konvolusi pada satu masa, biasanya dalam bentuk segiempat atau persegi."
cost function,fungsi kos,"Ukuran yang menilai sejauh mana ramalan model pembelajaran mesin berbeza daripada nilai output sebenar, digunakan untuk mengoptimumkan parameter model semasa latihan. Juga dikenali sebagai fungsi kerugian (loss function)."
cross validation,pengesahsahihan silang,"Teknik penilaian model di mana set data dibahagikan kepada beberapa lipatan, dan model dilatih serta diuji berulang kali dengan setiap lipatan digunakan sebagai set ujian manakala lipatan lain digabungkan sebagai set latihan, memberikan anggaran prestasi yang lebih teguh."
cross-entropy,entropi silang,"Ukuran perbezaan antara dua taburan kebarangkalian, sering digunakan sebagai fungsi kerugian dalam masalah pengelasan untuk mengukur perbezaan antara taburan ramalan dan taburan sebenar."
Cross-Entropy Loss,,"Fungsi kerugian biasa yang digunakan dalam masalah pengelasan, yang mengukur perbezaan antara dua taburan kebarangkalian (satu daripada model dan satu lagi dari label sebenar), biasanya digabungkan dengan fungsi pengaktifan softmax."
curriculum learning,pembelajaran kurikulum,"Strategi latihan di mana model didedahkan kepada contoh latihan mengikut susunan yang semakin sukar, bermula dengan kes yang mudah dan beransur-ansur beralih kepada kes yang lebih kompleks, membantu model belajar dengan lebih berkesan."
curse of dimensionality,sumpahan dimensi,"Fenomena di mana prestasi algoritma pembelajaran mesin merosot apabila bilangan ciri (dimensi) dalam data meningkat, disebabkan oleh pengaruh dimensi yang tinggi terhadap jarak dan kepadatan sampel."
data augmentation,pengayaan data,"Teknik untuk meningkatkan saiz dan kepelbagaian set data latihan dengan menjalankan transformasi rawak pada contoh sedia ada, seperti putaran, terjemahan, atau penskalaan, untuk mengurangkan suaipadan terlebihan (overfitting) dan meningkatkan keteguhan model."
data leakage,kebocoran data,"Senario di mana maklumat daripada set data ujian atau data masa depan secara tidak sengaja digunakan semasa latihan model, menyebabkan penilaian prestasi yang terlalu tinggi dan model yang tidak dapat digeneralisasi dengan baik kepada data baharu."
data sparsity,data jarang,"Sifat set data di mana kebanyakan nilai adalah sifar, yang sering berlaku dalam masalah seperti pengesyoran, dengan kebanyakan pengguna hanya berinteraksi dengan sebahagian kecil kemungkinan item."
decision boundary,Sempadan Keputusan,Permukaan hipersatah yang memisahkan ruang ciri kepada rantau yang berbeza yang sepadan dengan kelas output yang berbeza dalam masalah pengelasan.
Decision Forest,hutan keputusan,"Pengelas ensembel yang terdiri daripada banyak pepohon keputusan yang dilatih secara berasingan, dengan ramalan akhir ditentukan oleh pengundian majoriti atau purata merentasi semua pohon individu."
Decision Tree,pepohon keputusan,"Struktur pepohon yang mewakili satu set peraturan pengelasan atau regresi, di mana nod dalaman mewakili ujian pada ciri, cabang mewakili hasil ujian, dan nod daun mewakili ramalan kelas atau nilai."
decoder,penyahkod,"Komponen dalam seni bina pengekod-penyahkod (encoder-decoder) yang menjana output daripada perwakilan berdimensi rendah yang dihasilkan oleh pengekod, cuba membina semula input asal atau menjana output yang sepadan."
deep belief network,rangkaian kepercayaan mendalam,"Model generatif yang terdiri daripada berbilang lapisan unit tersembunyi, dilatih secara rakus lapisan demi lapisan menggunakan algoritma Pembelajaran Capahan Bezaan (Contrastive Divergence), digunakan untuk pengecaman corak dan pembelajaran ciri."
deep learning,pembelajaran mendalam,"Cabang pembelajaran mesin yang menumpukan pada algoritma dan teknik untuk membina dan melatih rangkaian neural dengan banyak lapisan tersembunyi, membolehkan pembelajaran perwakilan hierarki dan abstrak daripada data."
deep neural network,deep model; rangkaian neural mendalam; rangkaian neural dalam,"Rangkaian neural dengan banyak lapisan tersembunyi antara lapisan input dan output, membolehkan pembelajaran perwakilan hierarki dan abstrak dari data."
Deep Q-Network,,"Pelanjutan kepada pembelajaran Q yang menggunakan rangkaian neural untuk menganggarkan fungsi nilai Q, membolehkan pengendalian ruang keadaan dan tindakan yang besar dalam persekitaran yang kompleks."
deep stacking network,rangkaian penindanan mendalam,Seni bina pembelajaran mesin hierarki di mana berbilang rangkaian dangkal dilatih secara berjujukan dan kemudian ditindankan untuk mempelajari perwakilan bertahap yang lebih abstrak.
DeepDream,DeepDream,"Algoritma yang digunakan untuk menjana imej halusinasi dengan menjalankan proses memperkuatkan ciri visual yang dikesan oleh rangkaian neural yang dipra-latih, menghasilkan imej yang menarik secara visual dengan corak gaya surealis."
denoising,penyahhingar; penyahhinggaran,"Tugas membuang hingar atau artifak yang tidak diingini daripada isyarat atau imej, sering dilakukan menggunakan teknik pemprosesan isyarat atau rangkaian neural seperti autoencoder penyahhingar."
dense layer,lapisan tumpat; lapisan padat,"Lapisan sambungan penuh dalam rangkaian neural di mana setiap neuron disambungkan kepada semua neuron dalam lapisan sebelumnya, digunakan untuk pembelajaran ciri global dan pengambilan keputusan akhir."
densely connected convolutional networks,rangkaian konvolusi bersambung rapat,"Seni bina CNN di mana setiap lapisan menerima input tambahan dari semua lapisan sebelumnya, menggalakkan penggunaan semula ciri, mengurangkan bilangan parameter, dan mengurangkan masalah penyusutan gradien."
dependency parsing,Penghuraian Ketergantungan,"Proses menganalisis struktur ketergantungan ayat, di mana setiap perkataan dikaitkan dengan perkataan lain yang bergantung padanya, menghasilkan graf ketergantungan berarah."
depth,kedalaman,"Bilangan lapisan dalam rangkaian neural atau pepohon keputusan, mencerminkan keupayaan model untuk mempelajari perwakilan hierarki dan abstrak dari data."
derivative,terbitan,"Ukuran kadar perubahan fungsi berkenaan dengan perubahannya input, menggambarkan kecerunan fungsi pada setiap titik."
diffusion,penyerakan; penyebaran,"Kelas model generatif yang belajar mengubah proses penyerakan hingar tambahan secara beransur-ansur untuk menjana sampel baharu, biasanya digunakan untuk penjanaan imej."
dimensionality reduction,pengurangan dimensi,"Teknik untuk mengurangkan bilangan ciri (features) dalam set data sambil mengekalkan maklumat penting, biasanya dilakukan untuk membuang kebisingan, mengurangkan pengiraan, atau memudahkan visualisasi."
dimensions,dimensi,"Bilangan ciri atau atribut dalam set data, menentukan saiz dan struktur data dalam ruang ciri (feature space)."
directed graph,graf terarah,"Struktur data yang terdiri daripada set nod dan set tepi terarah yang menghubungkan nod, di mana setiap tepi mempunyai arah yang ditetapkan dari satu nod ke nod lain."
discreet,berasingan; asing,"Merujuk kepada kuantiti atau nilai yang hanya boleh mengambil nilai integer, berbeza dengan pemboleh ubah selanjar yang boleh mengambil sebarang nilai nyata."
Discrete Fourier Transform,Transformasi Fourier Diskret,"Algoritma untuk mengubah isyarat diskret dari domain masa ke domain frekuensi, digunakan dalam pemprosesan isyarat digital dan analisis spektrum."
Discriminant analysis,analisis diskriminan,"Teknik pembelajaran mesin berpenyelia digunakan untuk mencari gabungan ciri yang menjelaskan atau memisahkan dua atau lebih kelas acara atau objek, digunakan dalam pengelasan dan pengurangan dimensi."
discriminative model,model diskriminatif,"Jenis model pembelajaran mesin yang mempelajari sempadan keputusan atau perbezaan antara kelas, memberi tumpuan kepada membezakan antara kelas berbanding memodelkan taburan kebarangkalian setiap kelas secara langsung."
discriminator,diskriminator; pembeza,"Komponen dalam rangkaian penyahkod-auto berlawanan (GAN) yang bertanggungjawab untuk membezakan antara sampel sebenar dan sampel yang dijana oleh penjana, dilatih untuk membimbing penjana untuk menghasilkan output yang lebih realistik."
Distributed Stochastic Neighbor Embedding,,"Teknik pengurangan dimensi tidak linear yang memetakan data berdimensi tinggi ke ruang berdimensi rendah (biasanya 2D atau 3D) untuk visualisasi, dengan mengekalkan struktur setempat dan global dalam data."
distribution,taburan,Fungsi matematik yang menerangkan kebarangkalian relatif atau kekerapan nilai yang mungkin dalam set data.
domain adaptation,penyesuaian domain,"Cabang pembelajaran pindahan (transfer learning) yang bertujuan untuk mengadaptasi model yang dilatih pada domain sumber kepada domain sasaran yang berbeza tetapi berkaitan, tanpa memerlukan data berlabel yang banyak dari domain sasaran."
downsampling,pensampelan menurun,"Teknik untuk mengurangkan kadar pensampelan atau resolusi data, sering digunakan dalam pemprosesan imej atau isyarat untuk mengurangkan dimensi data dan beban pengiraan."
dropout,pengguguran,"Teknik pengaturan di mana unit neuron digugurkan secara rawak semasa latihan, mengurangkan penyesuaian lebih (overfitting) dengan mencegah penyesuaian berlebihan terhadap mana-mana neuron tertentu."
Dropout Regularization,regularisasi pengguguran,"Teknik untuk mengurangkan penyesuaian lampau dalam rangkaian neural dengan menggugurkan unit secara rawak semasa latihan, menggalakkan pembelajaran ciri yang lebih teguh."
early stopping,pemberhentian awal,Teknik yang digunakan untuk mengelakkan penyesuaian lampau dalam pembelajaran mesin dengan memberhentikan latihan apabila prestasi model berhenti bertambah baik pada set pengesahsahihan.
echo state network,rangkaian keadaan gema,"Sejenis rangkaian neural berulang di mana sambungan dalam lapisan tersembunyi ditetapkan secara rawak dan kekal tetap, manakala sambungan output dipelajari untuk menghasilkan dinamik sasaran, digunakan dalam pemprosesan urutan dan kawalan."
Einsum notation,notasi Einsum,"Notasi padat untuk menyatakan operasi aljabar linear kompleks, seperti hasil darab matriks dan penjumlahan, dengan menyatakan hubungan antara dimensi input dan output."
embedding,pembenaman,"Perwakilan vektor berterusan dan bermakna bagi entiti diskret seperti perkataan, nod graf, atau ciri kategori, yang menangkap hubungan semantik atau struktural antara entiti."
embedding layer,lapisan pembenaman,"Lapisan dalam rangkaian neural yang memetakan input diskret, seperti perkataan atau ciri kategori, kepada vektor berterusan berdimensi rendah yang menangkap hubungan semantik antara input."
embedding space,ruang pembenaman,"Ruang vektor berterusan berdimensi rendah di mana entiti diskret seperti perkataan atau nod graf dipetakan, membolehkan operasi matematik dan pengukuran kesamaan dilakukan pada perwakilan ini."
embedding vector,vektor pembenaman,"Perwakilan vektor berterusan berdimensi rendah untuk entiti diskret seperti perkataan atau ciri kategori, dipelajari untuk menangkap hubungan semantik atau struktural antara entiti dalam ruang pembenaman."
encoder,pengekod,"Komponen dalam seni bina pengekod-penyahkod (encoder-decoder) yang memetakan input kepada perwakilan berdimensi rendah, menangkap ciri dan maklumat penting yang diperlukan untuk menjana output yang sepadan."
encoding,pengekodan,"Proses transformasi data ke dalam format yang boleh diproses dan difahami oleh algoritma pembelajaran mesin, sering melibatkan pemetaan nilai kategori kepada nilai berangka atau vektor."
ensemble,ensembel,Gabungan beberapa model pembelajaran mesin yang dilatih secara berasingan dan ramalan mereka digabungkan untuk menghasilkan ramalan akhir yang lebih baik dan mengurangkan ralat.
Ensemble Learning,Pembelajaran ensembel,"Paradigma pembelajaran mesin yang menggabungkan berbilang model asas untuk membuat ramalan atau keputusan akhir, sering menghasilkan prestasi yang lebih baik daripada mana-mana model tunggal."
entropy,entropi,"Ukuran kekurangan kepastian atau kerawakan dalam sistem, sering digunakan dalam pembelajaran mesin sebagai fungsi kerugian untuk menilai kualiti ramalan pengelasan."
epoch,epok,"Satu kitaran penuh melalui keseluruhan set data latihan dalam proses pembelajaran rangkaian neural, di mana setiap sampel telah digunakan sekali untuk mengemas kini pemberat model."
Evaluation metric,matrik penilaian,"Ukuran kuantitatif yang digunakan untuk menilai prestasi model pembelajaran mesin, seperti ketepatan, kepersisan, ingat kembali, skor F1, atau kesilapan min persegi."
expectation-maximization algorithm,algoritma jangkaan-pemaksimuman,"Algoritma lelaran yang digunakan untuk mencari anggaran kebolehjadian maksimum parameter dalam model statistik yang melibatkan pemboleh ubah pendam, seperti Model Campuran Gaussian."
exploding gradient,kecerunan meletup,"Masalah yang berlaku semasa melatih rangkaian neural dalam di mana kecerunan menjadi sangat besar, menyebabkan langkah pengoptimuman yang tidak stabil dan prestasi model yang lemah."
exploitation,eksploitasi,"Strategi dalam pembelajaran peneguhan (reinforcement learning) di mana ejen memilih tindakan yang dijangka memberikan ganjaran tertinggi berdasarkan pengetahuan yang diperoleh setakat ini, berbanding meneroka kemungkinan baru (penjelajahan)."
exploration,penjelajahan,"Strategi dalam pembelajaran peneguhan (reinforcement learning) di mana ejen mencuba tindakan baharu atau keadaan yang tidak dijelajahi untuk menemui dasar optimum, sering diimbangi dengan eksploitasi."
F1 score,skor F1,"Ukuran prestasi yang menggabungkan ketepatan dan daya ingat dalam tugas pengelasan, dikira sebagai min harmonik antara ketepatan (precision) dan daya ingat (recall)."
feature cross,ciri silang,"Teknik kejuruteraan ciri yang menghasilkan ciri baharu dengan mengalikan dua atau lebih ciri sedia ada, membantu model mempelajari interaksi tidak linear antara ciri."
feature engineering,kejuruteraan ciri; kejuteraan ciri-ciri; pemilihan ciri,Proses mencipta ciri baharu dari data mentah menggunakan pengetahuan domain untuk memudahkan proses pembelajaran dan meningkatkan prestasi model pembelajaran mesin.
